Organization,Name,PrimarySite,Start,End
http://org.csiro.au/A000673,CSIRO Division of Groundwater Research,http://org.csiro.au/FloreatPark,1982-01-01,1986-12-31
http://org.csiro.au/A000675,CSIRO Division of Land Resources Management,http://org.csiro.au/FloreatPark,1973-03-01,1982-12-31
http://org.csiro.au/A000676,CSIRO Division of Land Use Research,http://org.csiro.au/BlackMountain,1973-01-01,1982-12-31
http://org.csiro.au/A000677,CSIRO Division of Land Research,http://org.csiro.au/BlackMountain,1965-01-01,1973-12-31
http://org.csiro.au/A000678,CSIRO Division of Land Research and Regional Survey,http://org.csiro.au/BlackMountain,1957-01-01,1965-12-31
http://org.csiro.au/A000679,CSIRO Land Research and Regional Survey Section,http://org.csiro.au/Australia,1950-01-01,1957-12-31
http://org.csiro.au/A000680,CSIRO Northern Australian Regional Survey Section,http://org.csiro.au/Australia,1945-01-01,1950-12-31
http://org.csiro.au/A000681,CSIRO Division of Applied Physics (II),http://org.csiro.au/Lindfield,1979-01-01,1996-09-20
http://org.csiro.au/A000682,CSIRO Division of Physics,http://org.csiro.au/Chippendale,1945-01-01,1973-12-31
http://org.csiro.au/A000685,CSIRO Division of Metrology,http://org.csiro.au/Australia,1945-01-01,1962-12-31
http://org.csiro.au/A000687,CSIRO Division of Mathematical Statistics,http://org.csiro.au/UniversityofAdelaide,1954-01-01,1974-12-31
http://org.csiro.au/A000688,CSIRO Division of Mechanical Engineering,http://org.csiro.au/Highett,1963-11-27,1981-12-31
http://org.csiro.au/A000690,CSIRO McMaster Laboratory,http://org.csiro.au/Prospect,1963-01-01,2001-12-31
http://org.csiro.au/A000691,CSIRO Meat Research Laboratory,http://org.csiro.au/CannonHill,1969-01-01,1992-12-31
http://org.csiro.au/A000693,Institute of Information and Communications Technologies - CSIRO,http://org.csiro.au/NorthRyde,1986-01-01,1995-12-31
http://org.csiro.au/A000694,CSIRO Wool Textile Research Laboratories,http://org.csiro.au/Australia,1949-01-01,1958-12-31
http://org.csiro.au/A000695,CSIRO Physics and Engineering Unit,http://org.csiro.au/Ryde,1949-01-01,1958-12-31
http://org.csiro.au/A000696,CSIRO Division of Mineralogy,http://org.csiro.au/FloreatPark,1971-01-01,1984-09-30
